Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2013,1,1,"Loveland City School District, Ohio",358,92.5,25716,0.49,0.51,0.05,0.22,0.73,0.9,0.1,0.5,0.5,82297
2008,0,1,"Mad River Local School District, Ohio",284,64.8,22101,0.48,0.52,0.05,0.19,0.76,0.85,0.15,0.87,0.13,39809
2013,1,1,"Mad River Local School District, Ohio",280,77.1,21255,0.51,0.49,0.07,0.18,0.75,0.85,0.15,0.84,0.16,35596
2008,0,1,"Madison Local School District (Richland County), Ohio",237,69.2,28025,0.56,0.44,0.06,0.13,0.82,0.84,0.16,0.91,0.09,41619
2013,1,1,"Madison Local School District (Richland County), Ohio",191,81.7,26951,0.57,0.43,0.05,0.14,0.81,0.79,0.21,0.89,0.11,36722
2008,0,1,"Mansfield City School District, Ohio",299,56.2,34228,0.48,0.52,0.06,0.16,0.78,0.73,0.27,0.87,0.13,31939
2013,1,1,"Mansfield City School District, Ohio",246,78.5,34524,0.49,0.51,0.07,0.17,0.77,0.79,0.21,0.88,0.12,29280
2008,0,1,"Maple Heights City School District, Ohio",254,60.6,24122,0.45,0.55,0.07,0.2,0.74,0.32,0.68,0.84,0.16,43712
2013,1,1,"Maple Heights City School District, Ohio",299,66.2,22864,0.44,0.56,0.04,0.18,0.78,0.32,0.68,0.86,0.14,33358
2008,0,1,"Marietta City School District, Ohio",216,81,24288,0.48,0.52,0.06,0.14,0.8,0.96,0.04,0.79,0.21,38734
2013,1,1,"Marietta City School District, Ohio",231,82.7,24436,0.49,0.51,0.05,0.15,0.81,0.94,0.06,0.79,0.21,33418
2008,0,1,"Marion City School District, Ohio",355,65.9,29810,0.49,0.51,0.07,0.18,0.74,0.93,0.07,0.93,0.07,33824
2013,1,1,"Marion City School District, Ohio",313,66.1,29757,0.51,0.49,0.08,0.17,0.75,0.93,0.07,0.9,0.1,29249
2013,1,0,"Marshalltown Community School District, Iowa",314,70.4,30704,0.49,0.51,0.07,0.19,0.74,0.81,0.19,0.79,0.21,47628
2008,0,0,"Marshalltown Community School District, Iowa",299,60.2,29975,0.5,0.5,0.08,0.17,0.75,0.89,0.11,0.81,0.19,42922
2008,0,1,"Marysville Exempted Village School District, Ohio",431,76.3,27979,0.45,0.55,0.08,0.18,0.74,0.92,0.08,0.74,0.26,68274
2013,1,1,"Marysville Exempted Village School District, Ohio",385,81.3,31860,0.46,0.54,0.06,0.19,0.75,0.93,0.07,0.77,0.23,55606
2013,1,0,"Mason City Community School District, Iowa",273,72.5,28504,0.49,0.51,0.05,0.16,0.79,0.94,0.06,0.8,0.2,38574
2008,0,0,"Mason City Community School District, Iowa",269,75.5,28973,0.48,0.52,0.06,0.16,0.78,0.95,0.05,0.79,0.21,43104
2008,0,1,"Mason City School District, Ohio",843,93.6,46704,0.49,0.51,0.07,0.25,0.68,0.83,0.17,0.47,0.53,94329
2013,1,1,"Mason City School District, Ohio",830,96.1,51464,0.49,0.51,0.06,0.26,0.68,0.78,0.22,0.44,0.56,82794
2008,0,1,"Massillon City School District, Ohio",288,69.4,30151,0.5,0.5,0.07,0.14,0.78,0.72,0.28,0.88,0.12,38870
2013,1,1,"Massillon City School District, Ohio",296,78.7,29552,0.49,0.51,0.07,0.17,0.76,0.71,0.29,0.86,0.14,33963
2008,0,1,"Mayfield City School District, Ohio",185,73,33056,0.47,0.53,0.05,0.15,0.79,0.86,0.14,0.58,0.42,54430
2013,1,1,"Mayfield City School District, Ohio",227,87.7,32888,0.48,0.52,0.06,0.14,0.79,0.85,0.15,0.54,0.46,53385
2008,0,1,"Medina City School District, Ohio",584,89,43354,0.49,0.51,0.08,0.19,0.73,0.95,0.05,0.63,0.37,70523
